
 START: 1/5 

Iteration 163 completed | Delta llk: 0.029818 | Time: 0.41 sec
Iteration 164 completed | Delta llk: 0.029707 | Time: 0.41 sec
Iteration 165 completed | Delta llk: 0.029582 | Time: 0.43 sec
Iteration 166 completed | Delta llk: 0.029464 | Time: 0.44 sec
Iteration 167 completed | Delta llk: 0.029343 | Time: 0.48 sec
Iteration 168 completed | Delta llk: 0.029221 | Time: 0.45 sec
Iteration 169 completed | Delta llk: 0.029097 | Time: 0.41 sec
Iteration 170 completed | Delta llk: 0.028965 | Time: 0.41 sec
Iteration 171 completed | Delta llk: 0.028839 | Time: 0.41 sec
Iteration 172 completed | Delta llk: 0.028711 | Time: 0.45 sec
Iteration 173 completed | Delta llk: 0.028583 | Time: 0.48 sec
Iteration 174 completed | Delta llk: 0.028455 | Time: 0.41 sec
Iteration 175 completed | Delta llk: 0.028324 | Time: 0.43 sec
Iteration 176 completed | Delta llk: 0.028193 | Time: 0.42 sec
Iteration 177 completed | Delta llk: 0.028061 | Time: 0.42 sec
Iteration 178 completed | Delta llk: 0.027932 | Time: 0.42 sec
Iteration 179 completed | Delta llk: 0.027796 | Time: 0.43 sec
Iteration 180 completed | Delta llk: 0.027664 | Time: 0.41 sec
Iteration 181 completed | Delta llk: 0.027531 | Time: 0.39 sec
Iteration 182 completed | Delta llk: 0.027402 | Time: 0.44 sec
Iteration 183 completed | Delta llk: 0.027274 | Time: 0.42 sec
Iteration 184 completed | Delta llk: 0.027140 | Time: 0.41 sec
Iteration 185 completed | Delta llk: 0.027016 | Time: 0.41 sec
Iteration 186 completed | Delta llk: 0.026880 | Time: 0.43 sec
Iteration 187 completed | Delta llk: 0.026748 | Time: 0.39 sec
Iteration 188 completed | Delta llk: 0.026623 | Time: 0.42 sec
Iteration 189 completed | Delta llk: 0.026487 | Time: 0.45 sec
Iteration 190 completed | Delta llk: 0.026372 | Time: 0.39 sec
Iteration 191 completed | Delta llk: 0.026248 | Time: 0.39 sec
Iteration 192 completed | Delta llk: 0.026114 | Time: 0.43 sec
Iteration 193 completed | Delta llk: 0.025990 | Time: 0.47 sec
Iteration 194 completed | Delta llk: 0.025862 | Time: 0.43 sec
Iteration 195 completed | Delta llk: 0.025746 | Time: 0.48 sec
Iteration 196 completed | Delta llk: 0.025625 | Time: 0.44 sec
Iteration 197 completed | Delta llk: 0.025513 | Time: 0.44 sec
Iteration 198 completed | Delta llk: 0.025395 | Time: 0.44 sec
Iteration 199 completed | Delta llk: 0.025274 | Time: 0.45 sec
Iteration 200 completed | Delta llk: 0.025153 | Time: 0.45 sec
Iteration 201 completed | Delta llk: 0.025043 | Time: 0.42 sec
Iteration 202 completed | Delta llk: 0.024617 | Time: 0.41 sec
